FIPS,GEOID,Rent00,Rent10,Rent15,Rent_ch00_10,Rent_ch10_15,Pop00,Pop10,Pop15,Pop_Ch00_10,Pop_Ch10_15,medinc_00,medinc_10,medinc_15,inc_ch00_10,inc_ch10_15,renter_00,renter_10,renter_15,renter00_10,renter10_15,own_0010,own_1015,coc_00,coc_10,coc_15,coc00_10,coc10_15,lowinc_00,lowinc_10,lowinc_15,lowinc_ch00_10,lowinc_ch10_15,af_00,per_af_00,af_10,per_af_10,af_15,per_af_15,af_ch_00_10,af_ch_10_15,MHV_00,MHV_10,MHV_15,App90_00,App00_10,App10_15,App90_10,App00_15,R_MHV00,R_MHV10,R_MHV15,NH,ZRI10,ZRI15,MHSP_2000,MHSP_2010,MHSP_2015,MHSP00_10,MHSP10_15
41051000701,41051000701,643,760,900,0.182,0.184,4396,4220,4825,-0.04,0.143,39211,47958,53189,0.223,0.109,0.404,0.382,0.452,-0.022,0.069,2.21,-0.07,0.229,0.3,0.283,0.071,-0.017,0.489,0.454,0.444,-0.035,-0.009,840,0.589,765,0.494,759,0.488,-0.089,-0.008,143900,258500,280600,0.97406239,0.950864114,0.08549323,0.796386379,0.949965254,0.928986443,0.885273973,0.950864114,South Tabor,1230,1778,141346.1647,239737.2222,340935.9775,0.696099945,0.422123667
41051000702,41051000702,733,1015,1082,0.385,0.066,4923,4723,4567,-0.041,-0.033,43000,39053,52077,-0.092,0.333,0.362,0.382,0.433,0.02,0.051,-1.98,-0.051,0.252,0.32,0.281,0.068,-0.039,0.436,0.578,0.468,0.142,-0.11,1093,0.677,830,0.493,1000,0.548,-0.241,0.205,120300,233500,227600,0.760602874,0.771263978,-0.025267666,0.940980881,0.891936825,0.776630084,0.799657534,0.771263978,Foster-Powell,1209,1593,121967.4304,195979.6923,290294.6804,0.606819884,0.481248781
41051000801,41051000801,607,728,1027,0.199,0.411,4556,4505,4481,-0.011,-0.005,40516,53402,57266,0.318,0.072,0.396,0.457,0.438,0.061,-0.018,-6.11,0.019,0.182,0.237,0.169,0.055,-0.067,0.453,0.468,0.294,0.014,-0.174,845,0.542,850,0.521,730,0.431,0.006,-0.141,148000,298200,307500,1.007010165,1.042019654,0.031187123,1.014864865,1.077702703,0.955455132,1.021232877,1.042019654,Richmond,1302,2233,151178.6286,284485.8333,433599.0109,0.881786044,0.524149747
41051000802,41051000802,623,731,938,0.173,0.283,4600,4395,4607,-0.045,0.048,35530,45842,52353,0.29,0.142,0.535,0.546,0.63,0.011,0.084,-1.15,-0.084,0.217,0.317,0.203,0.1,-0.114,0.541,0.524,0.479,-0.017,-0.045,1216,0.679,930,0.549,1190,0.628,-0.235,0.28,135400,249300,243800,0.846126884,0.826160624,-0.022061773,0.841211226,0.800590842,0.874112331,0.853767123,0.826160624,Creston-Kenilworth,1237,1771,132323.7625,258024.6538,363382.3864,0.949949495,0.408324286
41051000901,41051000901,648,833,1123,0.285,0.348,3788,3542,4133,-0.065,0.167,40639,47016,64844,0.157,0.379,0.464,0.436,0.489,-0.028,0.054,2.87,-0.053,0.145,0.134,0.181,-0.011,0.047,0.459,0.497,0.38,0.038,-0.117,783,0.548,775,0.502,595,0.412,-0.01,-0.232,161600,363700,383100,1.302488608,1.298203999,0.053340665,1.250618812,1.370668317,1.043253712,1.245547945,1.298203999,Richmond,1302,2233,177187.0192,304533.3429,503785.3288,0.71871136,0.654286273
41051000902,41051000902,605,765,898,0.264,0.174,4458,4431,4473,-0.006,0.009,31960,38452,36477,0.203,-0.051,0.693,0.679,0.713,-0.014,0.034,1.37,-0.034,0.233,0.313,0.284,0.08,-0.029,0.563,0.577,0.539,0.014,-0.038,1365,0.789,1305,0.725,1255,0.69,-0.044,-0.038,139500,288100,277800,0.923939713,0.941375805,-0.035751475,1.065232975,0.991397849,0.90058102,0.986643836,0.941375805,Creston-Kenilworth,1237,1771,136656.9444,243693.1034,392657.2923,0.783247126,0.611277819
41051001000,41051001000,626,817,1002,0.305,0.226,5213,5304,5615,0.017,0.059,37969,42692,54468,0.124,0.276,0.59,0.579,0.617,-0.011,0.039,1.12,-0.038,0.167,0.139,0.172,-0.028,0.033,0.478,0.482,0.403,0.004,-0.079,1539,0.713,1370,0.576,1225,0.52,-0.11,-0.106,155400,319200,346800,1.167893445,1.175194849,0.086466165,1.054054054,1.231660232,1.003227889,1.093150685,1.175194849,Brooklyn,1323,1899,142453.9063,308757.5,436732.4769,1.167420383,0.414483784
41051001101,41051001101,491,662,717,0.348,0.083,1885,2264,2062,0.201,-0.089,24639,26591,23980,0.079,-0.098,0.897,0.881,0.904,-0.016,0.023,1.56,-0.023,0.154,0.18,0.184,0.026,0.005,0.671,0.672,0.633,0.001,-0.039,967,0.904,915,0.747,890,0.739,-0.054,-0.027,186500,388700,420700,1.282860147,1.425618434,0.082325701,1.084182306,1.255764075,1.204002582,1.331164384,1.425618434,Buckman,1465,1912,233625,387214.2857,481940,0.657418023,0.244633831
41051001102,41051001102,618,853,962,0.38,0.128,1382,1431,1606,0.035,0.122,40700,43125,66458,0.06,0.541,0.598,0.623,0.516,0.025,-0.107,-2.57,0.107,0.15,0.178,0.2,0.028,0.022,0.462,0.554,0.394,0.092,-0.16,360,0.563,365,0.584,310,0.492,0.014,-0.151,222200,531300,450700,1.705923589,1.527278889,-0.151703369,1.391089109,1.028352835,1.434473854,1.819520548,1.527278889,Hosford-Abernethy,1466,2392,224108.3333,354900,435208,0.583609118,0.22628346
41051001201,41051001201,591,808,955,0.367,0.182,4568,4868,5112,0.066,0.05,29034,37973,43569,0.308,0.147,0.833,0.825,0.829,-0.008,0.004,0.79,-0.004,0.138,0.136,0.111,-0.002,-0.024,0.61,0.603,0.445,-0.006,-0.158,2010,0.846,2010,0.782,1720,0.673,0,-0.144,188700,382600,326900,1.056782334,1.107760081,-0.145582854,1.027556969,0.732379438,1.218205294,1.310273973,1.107760081,Buckman,1465,1912,224655.5556,300709.5238,488522.973,0.338535889,0.624567678
